χρόνον	2741
κατʼ	2737
κακὸν	2733
ἔλεγεν	2732
αὐτό	2728
τροφῆς	2722
ὀρθῶς	2722
τριῶν	2719
ἃν	2718
ἄλλους	2707
γένηται	2705
κακῶν	2702
ἡμέρας	2695
αἴσθησιν	2695
μιᾶς	2694
δύνασθαι	2693
πάνυ	2692
ἐθνῶν	2690
ποιῆσαι	2688
ἄλληλα	2686
ἀριθμὸν	2684
δύναμιν	2682
ἐστίν	2681
πρῶτος	2665
συμπέρασμα	2657
εἴδους	2653
γένεσιν	2649
δύναμις	2641
κακῶς	2639
αἰτίας	2633
μέρους	2621
πόλιν	2607
μῆκος	2604
πλεῖστον	2604
τῆ	2602
κατά	2599
εἰρημένων	2598
ἕτερα	2593
ἰδοὺ	2589
ἐμὲ	2583
λέγω	2581
ὄντες	2573
ἔχουσα	2571
βούλεται	2560
γένους	2554
ἔλαττον	2552
μόρια	2551
οὐδενὶ	2549
ἄνθρωποι	2544
ταύτης	2544
ἰδεῖν	2544
καλεῖται	2543
τοῦτό	2543
ἐναντίων	2540
κεφαλῆς	2540
λαβὼν	2529
τινων	2526
ἐντὸς	2525
ὡσαύτως	2524
γῇ	2522
ἁ	2518
ἄλλον	2517
χρόνος	2517
τόπῳ	2514
ψυχῇ	2513
δόξαν	2513
κα	2511
ὑμεῖς	2505
ζ	2504
Η	2499
συμβαίνει	2496
οὕτωϲ	2494
ἕκαστος	2490
ἄχρι	2483
ἀρετῆς	2480
ἐφʼ	2478
φανερὸν	2477
θεῖον	2470
μορίων	2470
λ	2470
καιρὸν	2455
καλὸν	2450
γίνεσθαι	2442
αὑτοῦ	2440
βασιλέως	2438
ἐκεῖνα	2424
ἄλλη	2421
ἀνάγκη	2415
ἀρχῇ	2414
αἴσθησις	2413
χάριν	2412
τό	2404
σχεδὸν	2402
ἀγαθόν	2397
Θ	2394
εἶπον	2393
χρῆσθαι	2386
πρῶτα	2384
ρ	2382
Θεὸν	2382
λέγοντες	2381
οὐκοῦν	2374
ς	2365
γέγονεν	2355
τίνα	2354
στοιχεῖα	2347
ἔϲτι	2345
πολλάκις	2343
Χριστὸν	2337
τόπος	2329
τόδε	2327
ἀρετὴν	2324
χεῖρας	2322
ἕπεται	2319
Χριστὸς	2318
τρίτον	2308
γενέσεως	2302
κἄν	2302
ἔφην	2296
γένος	2291
σημαίνει	2291
ἄξιον	2289
οὐρανὸν	2287
ἀληθῆ	2280
φύσει	2268
τέλος	2267
αἰτίαν	2263
ἀπλῶς	2263
Ἀλλὰ	2262
κινούμενον	2261
ἔσονται	2261
νόμον	2261
ὑγρὸν	2260
μόριον	2257
πότερον	2251
ὄντι	2247
ιβ	2245
ἀέρος	2239
ἴση	2236
δυνάμεις	2234
πολλὴν	2212
Ἰησοῦς	2207
κύκλου	2200
ἕξει	2196
ἐϲτι	2193
ἡμερῶν	2190
ἕνεκεν	2188
ποῦ	2186
ἑαυτοὺς	2185
ἀμφοῖν	2177
ἑτέρου	2174
πάντας	2174
καλεῖ	2173
ταύτας	2173
τοῦδε	2172
τουτέστιν	2172
Ἐπεὶ	2170
φωνῆς	2168
πνεύματος	2167
οἶκον	2167
περ	2163
ὑπάρχον	2162
ὑποκείμενον	2160
κύριον	2159
ἑπτὰ	2156
πρώτῳ	2156
πέρας	2156
ἅτε	2154
γυναῖκα	2154
σχήματι	2147
εἶχεν	2146
ἀνθρώποις	2145
ἔθνη	2144
φασι	2143
ἔλεγον	2142
ἥλιος	2140
διαφέρει	2138
υἱοῦ	2122
ἐκείνου	2121
ἔχῃ	2120
ἀνδρὸς	2118
τᾶς	2115
ὅλην	2113
ἐπιστήμη	2110
οἴνου	2109
τοιαύτη	2109
ἄμεινον	2108
ἕτερος	2104
Θεῷ	2103
φαίνεται	2099
ἴσα	2099
μέρη	2096
λόγοις	2087
κόσμου	2086
ἑαυτοῖς	2086
οἰκεῖον	2082
οὗν	2078
μέσον	2077
ἀνθρώπῳ	2076
πατέρα	2074
τοιαύτην	2073
πρόσθεν	2073
ἐνίοτε	2073
ἀὴρ	2070
ἄνδρες	2066
ὅλης	2065
ἐκεῖθεν	2061
δείκνυσιν	2061
αἴτια	2057
εἰκὸς	2056
παθῶν	2055
ἕκαστα	2055
βασιλεῖ	2049
ἐχόντων	2048
ὄντως	2043
ἔργων	2041
ὅμοια	2038
Κυρίου	2036
πάθη	2034
πέντε	2033
ἀριθμῷ	2033
ἄλλας	2029
